n,m,p,seed,t_lp,t_round,t_verifica,t_totale
100,20,0.3,42,0.000355,4e-06,1.5e-05,0.000374
100,20,0.3,123,0.000189,4e-06,1.3e-05,0.000206
100,20,0.3,7,0.000184,3e-06,1.2e-05,0.000199
100,20,0.3,31,0.000195,4e-06,1.2e-05,0.000211
100,20,0.3,999,0.000197,4e-06,1.3e-05,0.000214
100,50,0.3,42,0.000587,4e-06,1.8e-05,0.000609
100,50,0.3,123,0.000499,5e-06,2e-05,0.000524
100,50,0.3,7,0.000645,5e-06,1.4e-05,0.000664
100,50,0.3,31,0.000504,5e-06,1.6e-05,0.000525
100,50,0.3,999,0.000568,5e-06,1.8e-05,0.000591
100,100,0.3,42,0.001464,6e-06,1.8e-05,0.001488
100,100,0.3,123,0.001457,6e-06,1.9e-05,0.001482
100,100,0.3,7,0.001465,6e-06,2.1e-05,0.001492
100,100,0.3,31,0.001203,6e-06,1.9e-05,0.001228
100,100,0.3,999,0.001449,7e-06,2.4e-05,0.00148
200,20,0.3,42,0.000408,4e-06,3.1e-05,0.000443
200,20,0.3,123,0.000357,4e-06,2.7e-05,0.000388
200,20,0.3,7,0.000371,4e-06,3.2e-05,0.000407
200,20,0.3,31,0.000454,5e-06,3.3e-05,0.000492
200,20,0.3,999,0.000487,4e-06,3.7e-05,0.000528
200,50,0.3,42,0.001139,4e-06,4.4e-05,0.001187
200,50,0.3,123,0.00121,5e-06,4.5e-05,0.00126
200,50,0.3,7,0.001128,5e-06,4.1e-05,0.001174
200,50,0.3,31,0.001302,5e-06,4.9e-05,0.001356
200,50,0.3,999,0.001492,5e-06,4.8e-05,0.001545
200,100,0.3,42,0.00385,7e-06,5.5e-05,0.003912
200,100,0.3,123,0.003033,6e-06,4.4e-05,0.003083
200,100,0.3,7,0.003624,7e-06,4.3e-05,0.003674
200,100,0.3,31,0.003103,7e-06,4.4e-05,0.003154
200,100,0.3,999,0.003343,6e-06,4.4e-05,0.003393
400,20,0.3,42,0.000758,5e-06,7.4e-05,0.000837
400,20,0.3,123,0.000732,4e-06,6.6e-05,0.000802
400,20,0.3,7,0.000709,5e-06,7.2e-05,0.000786
400,20,0.3,31,0.000795,5e-06,7.3e-05,0.000873
400,20,0.3,999,0.000775,5e-06,7.1e-05,0.000851
400,50,0.3,42,0.003132,6e-06,0.000117,0.003255
400,50,0.3,123,0.002874,5e-06,0.000104,0.002983
400,50,0.3,7,0.002731,5e-06,0.000103,0.002839
400,50,0.3,31,0.002765,6e-06,0.000119,0.00289
400,50,0.3,999,0.002951,6e-06,0.000127,0.003084
400,100,0.3,42,0.007113,7e-06,0.000127,0.007247
400,100,0.3,123,0.008288,7e-06,0.000113,0.008408
400,100,0.3,7,0.006355,7e-06,0.000117,0.006479
400,100,0.3,31,0.008451,8e-06,0.000137,0.008596
400,100,0.3,999,0.007604,9e-06,0.000137,0.00775
800,20,0.3,42,0.001489,6e-06,0.000184,0.001679
800,20,0.3,123,0.001549,4e-06,0.000172,0.001725
800,20,0.3,7,0.00159,5e-06,0.000184,0.001779
800,20,0.3,31,0.001551,6e-06,0.000184,0.001741
800,20,0.3,999,0.001552,4e-06,0.000154,0.00171
800,50,0.3,42,0.005274,7e-06,0.000305,0.005586
800,50,0.3,123,0.006292,8e-06,0.000303,0.006603
800,50,0.3,7,0.005853,8e-06,0.000329,0.00619
800,50,0.3,31,0.00615,8e-06,0.000282,0.00644
800,50,0.3,999,0.005645,8e-06,0.000359,0.006012
800,100,0.3,42,0.016405,1e-05,0.000427,0.016842
800,100,0.3,123,0.01522,9e-06,0.000279,0.015508
800,100,0.3,7,0.015927,9e-06,0.000319,0.016255
800,100,0.3,31,0.016158,9e-06,0.000404,0.016571
800,100,0.3,999,0.014802,9e-06,0.00037,0.015181
1600,20,0.3,42,0.003095,6e-06,0.000383,0.003484
1600,20,0.3,123,0.003036,4e-06,0.000304,0.003344
1600,20,0.3,7,0.003024,5e-06,0.000375,0.003404
1600,20,0.3,31,0.003386,2e-06,0.000285,0.003673
1600,20,0.3,999,0.003039,4e-06,0.000382,0.003425
1600,50,0.3,42,0.010393,8e-06,0.000764,0.011165
1600,50,0.3,123,0.010337,6e-06,0.000656,0.010999
1600,50,0.3,7,0.010341,8e-06,0.000687,0.011036
1600,50,0.3,31,0.01105,8e-06,0.000862,0.01192
1600,50,0.3,999,0.011839,7e-06,0.000742,0.012588
1600,100,0.3,42,0.033652,1e-05,0.000918,0.03458
1600,100,0.3,123,0.032902,9e-06,0.000832,0.033743
1600,100,0.3,7,0.03464,9e-06,0.000692,0.035341
1600,100,0.3,31,0.033412,9e-06,0.000905,0.034326
1600,100,0.3,999,0.033808,9e-06,0.000937,0.034754
3200,20,0.3,42,0.006281,5e-06,0.000792,0.007078
3200,20,0.3,123,0.005994,4e-06,0.000849,0.006847
3200,20,0.3,7,0.006063,4e-06,0.00079,0.006857
3200,20,0.3,31,0.0061,3e-06,0.000749,0.006852
3200,20,0.3,999,0.006658,3e-06,0.00068,0.007341
3200,50,0.3,42,0.023518,9e-06,0.001754,0.025281
3200,50,0.3,123,0.025222,1e-05,0.001795,0.027027
3200,50,0.3,7,0.022537,9e-06,0.00156,0.024106
3200,50,0.3,31,0.023431,9e-06,0.001676,0.025116
3200,50,0.3,999,0.027708,1e-05,0.001638,0.029356
3200,100,0.3,42,0.069571,1.3e-05,0.002278,0.071862
3200,100,0.3,123,0.065974,1.1e-05,0.002192,0.068177
3200,100,0.3,7,0.063714,1.2e-05,0.001921,0.065647
3200,100,0.3,31,0.066379,1.2e-05,0.002226,0.068617
3200,100,0.3,999,0.067625,1.2e-05,0.002365,0.070002
6400,20,0.3,42,0.012462,4e-06,0.00174,0.014206
6400,20,0.3,123,0.01323,5e-06,0.001817,0.015052
6400,20,0.3,7,0.013015,3e-06,0.001622,0.01464
6400,20,0.3,31,0.013048,4e-06,0.00155,0.014602
6400,20,0.3,999,0.012391,3e-06,0.001709,0.014103
6400,50,0.3,42,0.049163,1e-05,0.003962,0.053135
6400,50,0.3,123,0.046405,9e-06,0.003282,0.049696
6400,50,0.3,7,0.046579,9e-06,0.00314,0.049728
6400,50,0.3,31,0.04401,1.1e-05,0.003489,0.04751
6400,50,0.3,999,0.047652,1e-05,0.003695,0.051357
6400,100,0.3,42,0.144603,1.4e-05,0.005086,0.149703
6400,100,0.3,123,0.14372,1.2e-05,0.004508,0.14824
6400,100,0.3,7,0.12947,1.2e-05,0.004221,0.133703
6400,100,0.3,31,0.139856,1.2e-05,0.004828,0.144696
6400,100,0.3,999,0.140527,1.4e-05,0.005096,0.145637
12800,20,0.3,42,0.025229,4e-06,0.00323,0.028463
12800,20,0.3,123,0.025713,4e-06,0.003336,0.029053
12800,20,0.3,7,0.025713,4e-06,0.003455,0.029172
12800,20,0.3,31,0.025937,5e-06,0.003408,0.02935
12800,20,0.3,999,0.025737,5e-06,0.00335,0.029092
12800,50,0.3,42,0.104755,1.1e-05,0.007871,0.112637
12800,50,0.3,123,0.097517,1e-05,0.007479,0.105006
12800,50,0.3,7,0.098214,1.2e-05,0.006997,0.105223
12800,50,0.3,31,0.102892,1.1e-05,0.00766,0.110563
12800,50,0.3,999,0.092888,1.1e-05,0.007373,0.100272
12800,100,0.3,42,0.335692,1.4e-05,0.010289,0.345995
12800,100,0.3,123,0.334398,1.3e-05,0.008342,0.342753
12800,100,0.3,7,0.332121,1.4e-05,0.010005,0.34214
12800,100,0.3,31,0.304121,1.4e-05,0.010353,0.314488
12800,100,0.3,999,0.302687,1.5e-05,0.011202,0.313904
